ID,Year,State,Crop_Type,Rainfall (mm),Soil_Type,Irrigation_Area (ha),Crop_Yield (kg/ha)
167,2010,Punjab,Wheat,444,Loamy,144,3460
168,2011,Punjab,Wheat,507,Loamy,111,3661
169,2012,Punjab,Rice,995,Alluvial,169,2704
170,2019,Punjab,Bajra,458,Loamy,93,2524
171,2003,Punjab,Bajra,517,Alluvial,64,2240
172,2020,Punjab,Rice,814,Loamy,113,3038
173,2002,Punjab,Wheat,549,Loamy,121,3797
174,2011,Punjab,Bajra,459,Loamy,88,2450
175,2005,Punjab,Wheat,593,Loamy,169,3468
176,2002,Punjab,Wheat,420,Loamy,174,3144
177,2003,Punjab,Wheat,610,Loamy,118,3913
178,2005,Punjab,Wheat,535,Loamy,113,3549
179,2017,Punjab,Wheat,465,Loamy,177,3096
180,2007,Punjab,Bajra,365,Alluvial,58,2456
181,2020,Punjab,Rice,808,Loamy,144,2954
182,2011,Punjab,Wheat,408,Alluvial,115,3465
183,2019,Punjab,Wheat,624,Loamy,113,3988
184,2017,Punjab,Rice,805,Loamy,157,3498
185,2004,Punjab,Rice,912,Alluvial,155,2737
186,2002,Punjab,Wheat,627,Alluvial,154,2705
187,2001,Punjab,Wheat,663,Alluvial,102,2837
188,2009,Punjab,Bajra,436,Alluvial,66,2274
189,2004,Punjab,Rice,815,Loamy,173,3237
190,2018,Punjab,Wheat,690,Alluvial,163,3329
191,2018,Punjab,Wheat,575,Alluvial,101,3493
192,2014,Punjab,Bajra,539,Alluvial,93,2153
193,2015,Punjab,Rice,810,Loamy,164,3443
194,2001,Punjab,Rice,984,Loamy,154,2929
195,2008,Punjab,Rice,804,Loamy,177,3454
196,2003,Punjab,Bajra,552,Loamy,90,2921
197,2016,Punjab,Bajra,541,Loamy,61,2132
198,2009,Punjab,Bajra,513,Loamy,51,2915
199,2009,Punjab,Bajra,373,Loamy,75,2279
200,2003,Punjab,Wheat,463,Loamy,160,3722
201,2014,Punjab,Bajra,310,Loamy,76,2090
202,2014,Punjab,Bajra,411,Alluvial,69,2646
203,2005,Punjab,Wheat,498,Alluvial,110,3247
204,2009,Punjab,Rice,825,Loamy,115,2953
205,2001,Punjab,Wheat,650,Alluvial,144,2732
206,2008,Punjab,Wheat,552,Alluvial,158,2925
207,2005,Punjab,Bajra,372,Loamy,55,2601
208,2007,Punjab,Rice,910,Loamy,166,2870
209,2013,Punjab,Bajra,463,Loamy,89,2417
210,2009,Punjab,Bajra,573,Loamy,81,2447
211,2017,Punjab,Bajra,369,Loamy,93,2789
212,2005,Punjab,Bajra,409,Alluvial,75,2259
213,2017,Punjab,Rice,998,Loamy,129,2950
214,2013,Punjab,Rice,974,Loamy,134,2817
215,2007,Punjab,Bajra,479,Alluvial,59,2094
216,2019,Punjab,Bajra,476,Loamy,55,2965
217,2013,Punjab,Wheat,410,Alluvial,169,2736
218,2010,Punjab,Rice,945,Loamy,168,3249
219,2013,Punjab,Wheat,472,Alluvial,136,2844
220,2019,Punjab,Rice,906,Alluvial,150,3142
221,2011,Punjab,Rice,833,Alluvial,154,2806
222,2019,Punjab,Wheat,499,Loamy,165,3324
223,2019,Punjab,Bajra,300,Loamy,86,2704
224,2015,Punjab,Bajra,453,Loamy,61,2990
225,2001,Punjab,Wheat,683,Alluvial,101,2928
226,2000,Punjab,Wheat,543,Loamy,134,3896
227,2016,Punjab,Rice,994,Loamy,106,2971
228,2012,Punjab,Wheat,467,Loamy,105,3602
229,2012,Punjab,Rice,876,Loamy,165,2937
230,2004,Punjab,Wheat,575,Loamy,177,3574
231,2006,Punjab,Rice,971,Alluvial,163,2898
232,2020,Punjab,Wheat,458,Loamy,173,3621
233,2016,Punjab,Rice,971,Loamy,111,3397
234,2020,Punjab,Wheat,519,Loamy,111,3825
235,2006,Punjab,Wheat,517,Alluvial,112,3362
236,2003,Punjab,Bajra,410,Loamy,78,2998
237,2017,Punjab,Rice,986,Loamy,168,3300
238,2003,Punjab,Rice,1000,Loamy,146,3302
239,2007,Punjab,Rice,925,Loamy,139,3396
240,2017,Punjab,Wheat,477,Loamy,110,3348
241,2011,Punjab,Wheat,658,Loamy,114,3101
242,2011,Punjab,Rice,840,Alluvial,164,2771
243,2008,Punjab,Wheat,522,Loamy,106,3727
244,2002,Punjab,Bajra,332,Loamy,95,2676
245,2012,Punjab,Rice,841,Loamy,108,3095
246,2000,Punjab,Wheat,517,Loamy,171,3965
247,2007,Punjab,Rice,951,Alluvial,135,3199
248,2010,Punjab,Rice,831,Loamy,106,3214
249,2018,Punjab,Wheat,658,Loamy,152,3201
250,2020,Punjab,Bajra,301,Alluvial,81,2087
251,2018,Punjab,Bajra,578,Loamy,82,2923
252,2009,Punjab,Rice,896,Loamy,152,3234
253,2011,Punjab,Bajra,502,Loamy,55,2481
254,2003,Punjab,Bajra,407,Loamy,62,2485
255,2003,Punjab,Wheat,631,Alluvial,109,2705
256,2011,Punjab,Rice,843,Loamy,162,3434
257,2006,Punjab,Wheat,579,Loamy,174,3939
258,2007,Punjab,Wheat,586,Loamy,165,3516
259,2000,Punjab,Wheat,565,Loamy,163,3429
260,2005,Punjab,Rice,972,Loamy,175,3288
261,2004,Punjab,Rice,866,Loamy,150,3208
262,2008,Punjab,Bajra,530,Loamy,61,2669
263,2006,Punjab,Bajra,535,Loamy,91,2755
264,2013,Punjab,Rice,817,Alluvial,123,3032
265,2001,Punjab,Rice,906,Loamy,103,3301
266,2019,Punjab,Wheat,440,Loamy,117,3229
267,2005,Punjab,Rice,846,Loamy,103,3230
268,2019,Punjab,Rice,818,Loamy,147,3242
269,2018,Punjab,Bajra,569,Loamy,83,2797
270,2008,Punjab,Rice,967,Alluvial,151,2862
271,2012,Punjab,Rice,889,Alluvial,152,2557
272,2007,Punjab,Rice,835,Alluvial,133,2674
273,2004,Punjab,Wheat,645,Loamy,128,3164
274,2004,Punjab,Rice,908,Loamy,119,3321
275,2017,Punjab,Wheat,423,Loamy,173,3717
276,2014,Punjab,Wheat,650,Alluvial,161,3127
277,2008,Punjab,Wheat,646,Loamy,154,3077
278,2010,Punjab,Bajra,382,Alluvial,90,2307
279,2002,Punjab,Wheat,414,Alluvial,102,2762
280,2005,Punjab,Bajra,438,Loamy,69,2717
281,2012,Punjab,Wheat,420,Loamy,155,3385
282,2010,Punjab,Bajra,467,Loamy,92,2394
283,2017,Punjab,Bajra,573,Loamy,89,2493
284,2018,Punjab,Bajra,395,Alluvial,82,2031
285,2000,Punjab,Wheat,591,Loamy,174,3009
286,2014,Punjab,Bajra,309,Loamy,74,2996
287,2007,Punjab,Wheat,605,Loamy,112,3680
288,2013,Punjab,Bajra,399,Alluvial,79,2392
289,2020,Punjab,Rice,973,Loamy,105,3435
290,2012,Punjab,Bajra,544,Alluvial,63,2643
291,2015,Punjab,Bajra,596,Loamy,100,2639
292,2011,Punjab,Wheat,600,Loamy,172,3716
293,2011,Punjab,Rice,825,Loamy,157,3010
294,2016,Punjab,Wheat,675,Alluvial,116,3072
295,2006,Punjab,Wheat,516,Alluvial,164,3423
296,2016,Punjab,Rice,865,Loamy,127,3044
297,2014,Punjab,Rice,896,Loamy,167,3454
298,2005,Punjab,Rice,925,Loamy,101,2936
299,2015,Punjab,Wheat,515,Loamy,112,3478
300,2016,Punjab,Wheat,552,Loamy,178,3014
301,2016,Punjab,Rice,975,Loamy,107,3189
302,2020,Punjab,Rice,997,Loamy,174,2809
303,2012,Punjab,Rice,990,Loamy,166,3291
304,2011,Punjab,Bajra,347,Loamy,63,2177
305,2004,Punjab,Bajra,582,Loamy,76,2219
306,2001,Punjab,Rice,985,Loamy,147,3324
307,2008,Punjab,Rice,807,Loamy,119,3447
308,2009,Punjab,Bajra,358,Loamy,66,2234
309,2015,Punjab,Bajra,359,Loamy,57,2961
310,2012,Punjab,Bajra,536,Alluvial,73,1933
311,2014,Punjab,Rice,827,Alluvial,105,3183
312,2020,Punjab,Wheat,595,Loamy,116,3442
313,2001,Punjab,Bajra,462,Loamy,68,2303
314,2002,Punjab,Bajra,323,Loamy,84,2579
315,2014,Punjab,Rice,811,Loamy,151,2877
316,2001,Punjab,Wheat,530,Loamy,172,3721
317,2019,Punjab,Rice,857,Loamy,134,3223
318,2008,Punjab,Bajra,600,Alluvial,94,2128
319,2001,Punjab,Bajra,552,Alluvial,86,2651
320,2005,Punjab,Bajra,542,Loamy,88,2770
321,2014,Punjab,Wheat,551,Loamy,135,3188
322,2015,Punjab,Rice,1000,Alluvial,132,2668
323,2000,Punjab,Bajra,505,Loamy,60,2122
324,2008,Punjab,Wheat,474,Loamy,129,3530
325,2006,Punjab,Rice,945,Alluvial,113,2809
326,2003,Punjab,Rice,819,Loamy,177,2943
327,2007,Punjab,Wheat,640,Loamy,177,3182
328,2015,Punjab,Rice,976,Loamy,166,3018
329,2018,Punjab,Rice,815,Alluvial,156,2529
330,2013,Punjab,Rice,842,Loamy,154,2874
331,2008,Punjab,Rice,994,Loamy,123,2927
332,2015,Punjab,Wheat,576,Loamy,177,3514
333,2011,Punjab,Wheat,466,Alluvial,164,3311
334,2019,Punjab,Wheat,547,Loamy,145,3089
335,2008,Punjab,Bajra,491,Alluvial,61,2219
336,2011,Punjab,Wheat,431,Loamy,113,3989
337,2000,Punjab,Bajra,376,Loamy,93,2387
338,2012,Punjab,Bajra,515,Loamy,94,2130
339,2020,Punjab,Rice,926,Loamy,171,3007
340,2002,Punjab,Rice,845,Alluvial,169,2751
341,2012,Punjab,Wheat,479,Loamy,105,3944
342,2016,Punjab,Rice,967,Loamy,145,3224
343,2003,Punjab,Rice,946,Alluvial,167,3003
344,2015,Punjab,Wheat,496,Loamy,162,3531
345,2017,Punjab,Wheat,672,Alluvial,140,3388
346,2020,Punjab,Wheat,549,Loamy,115,3340
347,2004,Punjab,Wheat,573,Alluvial,177,3486
348,2005,Punjab,Wheat,689,Alluvial,109,3482
349,2012,Punjab,Wheat,566,Loamy,171,3235
350,2001,Punjab,Wheat,450,Alluvial,174,2842
351,2018,Punjab,Bajra,494,Alluvial,78,2618
352,2004,Punjab,Rice,922,Loamy,114,3300
353,2002,Punjab,Wheat,565,Loamy,123,3704
354,2005,Punjab,Bajra,350,Loamy,53,2914
355,2017,Punjab,Bajra,428,Alluvial,96,1969
356,2005,Punjab,Bajra,396,Loamy,62,2966
357,2014,Punjab,Rice,853,Alluvial,102,2722
358,2005,Punjab,Bajra,442,Loamy,86,2776
359,2015,Punjab,Rice,904,Alluvial,174,2784
360,2009,Punjab,Wheat,697,Alluvial,161,2846
361,2006,Punjab,Wheat,689,Loamy,138,3861
362,2017,Punjab,Wheat,673,Loamy,106,3936
363,2010,Punjab,Wheat,594,Loamy,151,3400
364,2016,Punjab,Rice,897,Loamy,178,3278
365,2015,Punjab,Bajra,516,Alluvial,59,2102
366,2004,Punjab,Bajra,330,Loamy,83,2543
367,2005,Punjab,Bajra,597,Loamy,56,2853
368,2006,Punjab,Rice,899,Alluvial,145,3124
369,2019,Punjab,Wheat,474,Loamy,166,3126
370,2017,Punjab,Bajra,468,Alluvial,54,2683
371,2012,Punjab,Bajra,501,Alluvial,56,2283
372,2017,Punjab,Rice,837,Loamy,133,3093
373,2014,Punjab,Wheat,681,Loamy,151,3330
374,2002,Punjab,Bajra,413,Loamy,74,2828
375,2019,Punjab,Rice,875,Loamy,176,3080
376,2003,Punjab,Rice,929,Loamy,154,3069
377,2008,Punjab,Wheat,623,Loamy,150,3674
378,2004,Punjab,Wheat,488,Loamy,154,3816
379,2009,Punjab,Bajra,400,Loamy,57,2367
380,2015,Punjab,Bajra,466,Loamy,50,2831
381,2001,Punjab,Bajra,550,Alluvial,90,1810
382,2008,Punjab,Bajra,468,Loamy,76,2462
383,2015,Punjab,Rice,924,Loamy,117,3080
384,2019,Punjab,Bajra,526,Alluvial,92,1914
385,2000,Punjab,Bajra,464,Loamy,55,2915
386,2014,Punjab,Wheat,690,Alluvial,116,2857
387,2000,Punjab,Rice,870,Loamy,102,3167
388,2019,Punjab,Bajra,596,Loamy,51,2021
389,2002,Punjab,Rice,886,Loamy,115,3225
390,2018,Punjab,Wheat,624,Loamy,175,3747
391,2007,Punjab,Wheat,528,Loamy,110,3953
392,2008,Punjab,Rice,879,Loamy,137,3322
393,2010,Punjab,Wheat,617,Alluvial,131,2994
394,2011,Punjab,Wheat,682,Loamy,143,3357
395,2004,Punjab,Bajra,546,Loamy,65,2462
396,2007,Punjab,Rice,982,Loamy,108,3413
397,2015,Punjab,Rice,938,Loamy,120,3418
398,2016,Punjab,Wheat,426,Loamy,142,3895
399,2017,Punjab,Rice,867,Loamy,103,3314
400,2002,Punjab,Wheat,427,Loamy,110,3224
401,2014,Punjab,Wheat,507,Loamy,150,3287
402,2016,Punjab,Bajra,361,Loamy,62,2002
403,2013,Punjab,Wheat,452,Loamy,103,3894
404,2011,Punjab,Wheat,415,Loamy,128,3977
405,2005,Punjab,Bajra,499,Loamy,60,2663
406,2000,Punjab,Wheat,586,Loamy,134,3817
407,2008,Punjab,Wheat,607,Loamy,123,3957
408,2008,Punjab,Bajra,419,Loamy,77,2018
409,2012,Punjab,Rice,826,Loamy,163,3100
410,2017,Punjab,Wheat,619,Alluvial,155,3069
411,2001,Punjab,Rice,938,Loamy,151,3099
412,2002,Punjab,Bajra,392,Loamy,70,2599
413,2017,Punjab,Wheat,667,Alluvial,154,2915
414,2007,Punjab,Wheat,415,Alluvial,132,2926
415,2006,Punjab,Bajra,503,Loamy,61,2561
416,2012,Punjab,Bajra,357,Alluvial,91,2593
417,2007,Punjab,Rice,918,Loamy,165,3207
418,2003,Punjab,Bajra,303,Loamy,57,2299
419,2018,Punjab,Bajra,377,Loamy,78,2573
420,2011,Punjab,Bajra,374,Alluvial,72,2419
421,2017,Punjab,Bajra,436,Loamy,50,2096
422,2012,Punjab,Rice,961,Loamy,155,3022
423,2019,Punjab,Bajra,357,Alluvial,57,2574
424,2010,Punjab,Bajra,439,Alluvial,94,2078
425,2009,Punjab,Rice,922,Loamy,123,3468
426,2009,Punjab,Rice,848,Loamy,117,3202
427,2002,Punjab,Rice,852,Loamy,150,3433
428,2003,Punjab,Wheat,597,Loamy,142,3822
429,2009,Punjab,Wheat,632,Loamy,165,3280
430,2003,Punjab,Wheat,620,Alluvial,116,2819
431,2005,Punjab,Wheat,402,Loamy,165,3284
432,2019,Punjab,Wheat,671,Alluvial,151,3411
433,2003,Punjab,Rice,963,Loamy,129,3212
434,2000,Punjab,Bajra,546,Loamy,70,2456
435,2018,Punjab,Wheat,571,Loamy,116,3020
436,2017,Punjab,Bajra,494,Loamy,70,2008
437,2017,Punjab,Rice,852,Loamy,109,3065
438,2010,Punjab,Wheat,565,Loamy,112,3910
439,2007,Punjab,Rice,821,Loamy,163,3362
440,2016,Punjab,Bajra,398,Loamy,94,2399
441,2018,Punjab,Wheat,402,Loamy,148,3572
442,2000,Punjab,Bajra,566,Loamy,69,2354
443,2020,Punjab,Rice,953,Loamy,125,3246
444,2002,Punjab,Bajra,590,Loamy,83,2463
445,2008,Punjab,Bajra,514,Loamy,88,2062
446,2000,Punjab,Rice,921,Loamy,152,2919
447,2004,Punjab,Rice,842,Loamy,145,3392
448,2009,Punjab,Wheat,601,Loamy,118,3447
449,2009,Punjab,Rice,853,Loamy,134,3138
450,2018,Punjab,Rice,842,Loamy,162,3306
451,2005,Punjab,Rice,837,Loamy,115,3425
452,2010,Punjab,Rice,970,Alluvial,128,3101
453,2019,Punjab,Wheat,581,Loamy,163,3853
454,2005,Punjab,Bajra,555,Loamy,77,2554
455,2012,Punjab,Wheat,548,Loamy,135,3583
456,2013,Punjab,Rice,823,Alluvial,102,2989
457,2004,Punjab,Rice,845,Loamy,124,2978
458,2012,Punjab,Wheat,579,Loamy,167,3293
459,2004,Punjab,Bajra,440,Loamy,79,2690
460,2014,Punjab,Wheat,559,Loamy,125,3074
461,2002,Punjab,Bajra,466,Loamy,91,2875
462,2000,Punjab,Wheat,451,Alluvial,135,3076
463,2016,Punjab,Rice,948,Alluvial,175,2796
464,2010,Punjab,Wheat,462,Loamy,134,3100
465,2014,Punjab,Wheat,513,Loamy,150,3451
466,2017,Punjab,Bajra,455,Loamy,75,2405
467,2013,Punjab,Bajra,495,Loamy,96,2307
468,2007,Punjab,Bajra,500,Loamy,70,2872
469,2017,Punjab,Bajra,531,Loamy,71,2308
470,2014,Punjab,Bajra,343,Alluvial,55,1812
471,2004,Punjab,Bajra,598,Alluvial,80,1964
472,2005,Punjab,Bajra,332,Loamy,53,2514
473,2004,Punjab,Wheat,540,Loamy,153,3755
474,2003,Punjab,Rice,998,Loamy,174,3483
475,2010,Punjab,Bajra,410,Loamy,75,2392
476,2005,Punjab,Rice,973,Loamy,150,3393
477,2009,Punjab,Wheat,570,Loamy,104,3730
478,2020,Punjab,Rice,814,Alluvial,137,3162
479,2000,Punjab,Wheat,440,Loamy,173,3443
480,2014,Punjab,Wheat,401,Loamy,125,3194
481,2020,Punjab,Rice,933,Loamy,136,3104
482,2007,Punjab,Wheat,533,Loamy,100,3568
483,2004,Punjab,Rice,972,Loamy,123,3422
484,2015,Punjab,Wheat,483,Loamy,132,3010
485,2012,Punjab,Rice,864,Loamy,176,2975
486,2001,Punjab,Wheat,668,Loamy,165,3295
487,2014,Punjab,Rice,893,Loamy,180,3140
488,2010,Punjab,Wheat,559,Alluvial,162,3192
489,2002,Punjab,Wheat,511,Loamy,100,3824
490,2000,Punjab,Rice,978,Alluvial,178,3024
491,2008,Punjab,Wheat,443,Loamy,141,3854
492,2011,Punjab,Wheat,608,Loamy,139,3925
493,2000,Punjab,Wheat,664,Loamy,179,3861
494,2018,Punjab,Bajra,493,Loamy,70,2287
495,2009,Punjab,Rice,933,Loamy,129,3418
496,2015,Punjab,Rice,905,Alluvial,173,2502
497,2016,Punjab,Bajra,411,Alluvial,54,1991
498,2005,Punjab,Bajra,385,Alluvial,55,2326
499,2017,Punjab,Bajra,357,Alluvial,64,1911
500,2003,Punjab,Wheat,526,Loamy,168,3126
501,2015,Punjab,Bajra,357,Loamy,57,2644
502,2014,Punjab,Rice,966,Loamy,158,3148
503,2015,Punjab,Rice,927,Alluvial,109,2617
504,2014,Punjab,Rice,942,Loamy,112,3484
505,2019,Punjab,Bajra,327,Loamy,92,2242
506,2016,Punjab,Wheat,689,Alluvial,108,3051
507,2000,Punjab,Bajra,518,Loamy,58,2026
508,2011,Punjab,Rice,816,Alluvial,110,2529
509,2002,Punjab,Wheat,469,Loamy,133,3367
510,2004,Punjab,Bajra,514,Alluvial,57,1860
511,2020,Punjab,Rice,829,Loamy,134,3488
512,2006,Punjab,Wheat,613,Loamy,133,3778
513,2008,Punjab,Wheat,590,Loamy,135,3218
514,2009,Punjab,Bajra,515,Loamy,74,2351
